antiguedad,plan,metodo_pago,tipo_contrato,frecuencia_uso,cambios_plan,facturas_impagas,tickets_soporte,canal_adquisicion,friccion_del_servicio,engagement_score,valor_plan_num,ratio_valor_uso,riesgo_financiero,cliente_problematico,early_churn_risk,premium_mensual,churn
16,estandar,transferencia_bancaria,mensual,15,3,2,0,call_center,0.0,0.36,9.99,0.624375,19.98,0,0,0,0
120,estandar,efectivo,mensual,2,2,3,10,referido,3.3333333333333335,0.5066666666666666,9.99,3.33,29.97,1,0,0,1
29,premium,tarjeta_credito,anual,28,3,2,1,web,0.034482758620689655,0.5658333333333334,14.99,0.516896551724138,29.98,0,0,0,0
48,estandar,tarjeta_debito,mensual,9,1,0,2,referido,0.2,0.48,9.99,0.999,0.0,0,0,0,0
13,estandar,tarjeta_credito,mensual,19,0,1,5,web,0.25,0.5858333333333334,9.99,0.4995,9.99,0,0,0,0
2,estandar,tarjeta_credito,anual,0,3,2,5,redes_sociales,5.0,0.125,9.99,9.99,19.98,0,1,0,1
45,premium,transferencia_bancaria,mensual,10,0,2,5,call_center,0.45454545454545453,0.5458333333333333,14.99,1.3627272727272728,29.98,0,0,1,0
40,estandar,efectivo,mensual,30,0,1,3,redes_sociales,0.0967741935483871,0.8,9.99,0.32225806451612904,9.99,0,0,0,0
43,estandar,efectivo,anual,17,0,2,5,call_center,0.2777777777777778,0.6341666666666667,9.99,0.555,19.98,0,0,0,0
33,estandar,transferencia_bancaria,anual,15,0,0,7,referido,0.4375,0.5825,9.99,0.624375,0.0,0,0,0,0
16,basico,tarjeta_debito,mensual,16,1,2,0,web,0.0,0.49333333333333335,4.99,0.29352941176470587,9.98,0,0,0,0
2,estandar,efectivo,anual,1,1,2,2,redes_sociales,1.0,0.2583333333333333,9.99,4.995,19.98,0,1,0,0
8,premium,efectivo,anual,27,2,1,4,redes_sociales,0.14285714285714285,0.56,14.99,0.5353571428571429,14.99,0,0,0,0
55,estandar,tarjeta_debito,mensual,0,1,1,5,web,5.0,0.37749999999999995,9.99,9.99,9.99,0,0,0,1
26,basico,tarjeta_credito,mensual,19,2,2,6,call_center,0.3,0.49833333333333335,4.99,0.2495,9.98,0,0,0,1
46,estandar,tarjeta_debito,mensual,20,3,1,10,call_center,0.47619047619047616,0.5016666666666667,9.99,0.4757142857142857,9.99,0,0,0,0
33,basico,efectivo,mensual,15,3,3,8,redes_sociales,0.5,0.4025,4.99,0.311875,14.97,0,0,0,0
1,estandar,tarjeta_credito,mensual,26,2,2,9,call_center,0.3333333333333333,0.5291666666666667,9.99,0.37,19.98,0,1,0,0
14,basico,tarjeta_debito,mensual,15,3,0,8,referido,0.5,0.355,4.99,0.311875,0.0,0,0,0,0
59,estandar,transferencia_bancaria,mensual,4,2,1,2,redes_sociales,0.4,0.38083333333333336,9.99,1.998,9.99,0,0,0,1
12,estandar,tarjeta_credito,mensual,22,1,2,8,referido,0.34782608695652173,0.5633333333333334,9.99,0.43434782608695655,19.98,0,0,0,0
24,basico,tarjeta_credito,anual,1,1,3,5,call_center,2.5,0.31333333333333335,4.99,2.495,14.97,0,0,0,0
8,estandar,tarjeta_credito,anual,29,2,0,5,call_center,0.16666666666666666,0.5866666666666667,9.99,0.333,0.0,0,0,0,0
15,estandar,tarjeta_debito,mensual,10,0,0,6,referido,0.5454545454545454,0.4708333333333333,9.99,0.9081818181818182,0.0,0,0,0,0
6,estandar,efectivo,mensual,17,0,2,10,call_center,0.5555555555555556,0.5416666666666667,9.99,0.555,19.98,0,0,0,1
49,estandar,tarjeta_debito,mensual,22,2,2,3,web,0.13043478260869565,0.5958333333333333,9.99,0.43434782608695655,19.98,0,0,0,0
40,estandar,tarjeta_credito,anual,13,2,2,3,redes_sociales,0.21428571428571427,0.4533333333333333,9.99,0.7135714285714286,19.98,0,0,0,0
120,premium,tarjeta_debito,anual,26,3,0,5,call_center,0.18518518518518517,0.7666666666666667,14.99,0.5551851851851852,0.0,0,0,0,0
54,estandar,tarjeta_debito,mensual,15,2,0,2,web,0.125,0.515,9.99,0.624375,0.0,0,0,0,0
41,estandar,tarjeta_debito,anual,2,3,2,1,referido,0.3333333333333333,0.24916666666666665,9.99,3.33,19.98,0,0,0,0
18,basico,tarjeta_credito,mensual,22,1,0,5,web,0.21739130434782608,0.5783333333333334,4.99,0.21695652173913044,0.0,0,0,0,0
40,estandar,tarjeta_credito,anual,5,1,2,3,redes_sociales,0.5,0.4066666666666666,9.99,1.665,19.98,0,0,0,0
42,estandar,efectivo,anual,4,1,0,5,redes_sociales,1.0,0.3983333333333333,9.99,1.998,0.0,0,0,0,0
19,premium,transferencia_bancaria,mensual,5,0,1,10,call_center,1.6666666666666667,0.4141666666666667,14.99,2.4983333333333335,14.99,1,0,1,1
0,premium,efectivo,mensual,23,2,1,5,redes_sociales,0.20833333333333334,0.4866666666666667,14.99,0.6245833333333334,14.99,0,1,1,1
46,premium,tarjeta_credito,mensual,22,0,1,8,redes_sociales,0.34782608695652173,0.7083333333333333,14.99,0.6517391304347826,14.99,0,0,1,0
22,estandar,tarjeta_credito,anual,13,1,3,5,redes_sociales,0.35714285714285715,0.4683333333333333,9.99,0.7135714285714286,29.97,0,0,0,0
35,estandar,efectivo,mensual,18,3,3,1,web,0.05263157894736842,0.4475,9.99,0.5257894736842106,29.97,0,0,0,1
4,estandar,tarjeta_debito,anual,15,2,2,3,referido,0.1875,0.39,9.99,0.624375,19.98,0,1,0,0
36,estandar,tarjeta_debito,anual,10,3,2,10,web,0.9090909090909091,0.3433333333333333,9.99,0.9081818181818182,19.98,0,0,0,0
11,estandar,tarjeta_credito,mensual,16,2,3,4,web,0.23529411764705882,0.42083333333333334,9.99,0.5876470588235294,29.97,0,0,0,0
36,basico,tarjeta_debito,mensual,1,0,2,4,call_center,2.0,0.4033333333333333,4.99,2.495,9.98,0,0,0,1
52,estandar,transferencia_bancaria,mensual,2,3,2,5,redes_sociales,1.6666666666666667,0.27666666666666667,9.99,3.33,19.98,0,0,0,0
27,basico,tarjeta_debito,mensual,25,0,1,7,referido,0.2692307692307692,0.7008333333333334,4.99,0.19192307692307692,4.99,0,0,0,0
23,estandar,tarjeta_debito,mensual,24,2,0,7,call_center,0.28,0.5575000000000001,9.99,0.3996,0.0,0,0,0,0
46,estandar,tarjeta_debito,anual,15,3,3,10,referido,0.625,0.435,9.99,0.624375,29.97,0,0,0,0
37,estandar,tarjeta_debito,mensual,7,2,2,7,call_center,0.875,0.36583333333333334,9.99,1.24875,19.98,1,0,0,1
25,estandar,efectivo,anual,5,3,1,7,web,1.1666666666666667,0.24916666666666665,9.99,1.665,9.99,1,0,0,0
14,estandar,tarjeta_debito,anual,0,0,3,0,call_center,0.0,0.33499999999999996,9.99,9.99,29.97,0,0,0,0
55,basico,tarjeta_debito,anual,19,2,2,2,web,0.1,0.5708333333333333,4.99,0.2495,9.98,0,0,0,0
39,premium,tarjeta_debito,mensual,8,1,2,4,referido,0.4444444444444444,0.44416666666666665,14.99,1.6655555555555557,29.98,0,0,1,0
23,estandar,transferencia_bancaria,mensual,0,2,1,5,web,5.0,0.2375,9.99,9.99,9.99,0,0,0,1
