antiguedad,plan,metodo_pago,facturas_impagas,frecuencia_uso,tickets_soporte,tipo_contrato,cambios_plan,canal_adquisicion,churn
16,estandar,transferencia_bancaria,2,15,0,mensual,3,call_center,0
120,estandar,efectivo,3,2,10,mensual,2,referido,1
29,premium,tarjeta_credito,2,28,1,anual,3,web,0
48,estandar,tarjeta_debito,0,9,2,mensual,1,referido,0
13,estandar,tarjeta_credito,1,19,5,mensual,0,web,0
2,estandar,tarjeta_credito,2,0,5,anual,3,redes_sociales,1
45,premium,transferencia_bancaria,2,10,5,mensual,0,call_center,0
40,estandar,efectivo,1,30,3,mensual,0,redes_sociales,0
43,estandar,efectivo,2,17,5,anual,0,call_center,0
33,estandar,transferencia_bancaria,0,15,7,anual,0,referido,0
16,basico,tarjeta_debito,2,16,0,mensual,1,web,0
2,estandar,efectivo,2,1,2,anual,1,redes_sociales,0
8,premium,efectivo,1,27,4,anual,2,redes_sociales,0
55,estandar,tarjeta_debito,1,0,5,mensual,1,web,1
26,basico,tarjeta_credito,2,19,6,mensual,2,call_center,1
46,estandar,tarjeta_debito,1,20,10,mensual,3,call_center,0
33,basico,efectivo,3,15,8,mensual,3,redes_sociales,0
1,estandar,tarjeta_credito,2,26,9,mensual,2,call_center,0
14,basico,tarjeta_debito,0,15,8,mensual,3,referido,0
59,estandar,transferencia_bancaria,1,4,2,mensual,2,redes_sociales,1
12,estandar,tarjeta_credito,2,22,8,mensual,1,referido,0
24,basico,tarjeta_credito,3,1,5,anual,1,call_center,0
8,estandar,tarjeta_credito,0,29,5,anual,2,call_center,0
15,estandar,tarjeta_debito,0,10,6,mensual,0,referido,0
6,estandar,efectivo,2,17,10,mensual,0,call_center,1
49,estandar,tarjeta_debito,2,22,3,mensual,2,web,0
40,estandar,tarjeta_credito,2,13,3,anual,2,redes_sociales,0
120,premium,tarjeta_debito,0,26,5,anual,3,call_center,0
54,estandar,tarjeta_debito,0,15,2,mensual,2,web,0
41,estandar,tarjeta_debito,2,2,1,anual,3,referido,0
18,basico,tarjeta_credito,0,22,5,mensual,1,web,0
40,estandar,tarjeta_credito,2,5,3,anual,1,redes_sociales,0
42,estandar,efectivo,0,4,5,anual,1,redes_sociales,0
