antiguedad,plan,metodo_pago,facturas_impagas,frecuencia_uso,tickets_soporte,tipo_contrato,cambios_plan,canal_adquisicion,churn
16,estandar,transferencia_bancaria,2.0,,0.0,mensual,3,call_center,0
120,estandar,efectivo,3.0,2.0,10.0,mensual,2,referido,1
29,premium,tarjeta_credito,,28.0,1.0,anual,3,web,0
48,estandar,tarjeta_debito,0.0,9.0,2.0,mensual,1,referido,0
13,estandar,tarjeta_credito,1.0,19.0,5.0,mensual,0,web,0
2,estandar,tarjeta_credito,2.0,0.0,5.0,anual,3,redes_sociales,1
4,estandar,tarjeta_debito,20.0,25.0,4.0,anual,3,referido,0
45,premium,transferencia_bancaria,2.0,10.0,,mensual,0,call_center,0
13,basico,efectivo,,24.0,95.0,anual,0,web,0
150,basico,transferencia_bancaria,1.0,23.0,4.0,anual,3,call_center,0
40,standard,efectivo,1.0,30.0,3.0,mensual,0,redes_sociales,0
43,estandar,efectivo,2.0,17.0,5.0,anual,0,call_center,0
33,estandar,transferencia_bancaria,0.0,,7.0,anual,0,referido,0
16,basico,tarjeta_debito,,16.0,0.0,mensual,1,web,0
2,estandar,efectivo,2.0,1.0,2.0,anual,1,redes_sociales,0
8,premium,efectivo,1.0,27.0,4.0,anual,2,redes_sociales,0
5,estandar,tarjeta_debito,15.0,8.0,8.0,mensual,2,redes_sociales,1
55,estandar,tarjeta_debito,1.0,0.0,,mensual,1,web,1
26,basico,tarjeta_credito,,19.0,6.0,mensual,2,call_center,1
46,estandar,tarjeta_debito,1.0,20.0,10.0,mensual,3,call_center,0
33,basico,efectivo,3.0,,8.0,mensual,3,redes_sociales,0
35,estandar,transferencia_bancaria,2.0,,67.0,anual,2,referido,1
1,estandar,tarjeta_credito,,26.0,9.0,mensual,2,call_center,0
14,basico,tarjeta_debito,0.0,,8.0,mensual,3,referido,0
59,estandar,transferencia_bancaria,1.0,4.0,2.0,mensual,2,redes_sociales,1
47,estandar,transferencia_bancaria,0.0,5.0,1.0,anual,10,redes_sociales,0
12,estandar,tarjeta_credito,2.0,22.0,8.0,mensual,1,referido,0
24,basico,tarjeta_credito,3.0,1.0,,anual,1,call_center,0
8,estandar,tarjeta_credito,0.0,29.0,,anual,2,call_center,0
15,estandar,tarjeta_debito,0.0,10.0,6.0,mensual,0,referido,0
6,estandar,efectivo,,17.0,10.0,mensual,0,call_center,1
49,estandar,tarjeta_debito,,22.0,3.0,mensual,2,web,0
40,estandar,tarjeta_credito,2.0,13.0,3.0,anual,2,redes_sociales,0
120,premium,tarjeta_debito,0.0,26.0,,anual,3,call_center,0
54,estandar,,0.0,,2.0,mensual,2,web,0
41,estandar,tarjeta_debito,2.0,2.0,1.0,anual,3,referido,0
18,basico,tarjeta_credito,0.0,22.0,,mensual,1,web,0
40,estandar,tarjeta_credito,2.0,5.0,3.0,anual,1,redes_sociales,0
42,estandar,efectivo,0.0,4.0,,anual,1,redes_sociales,0
19,premium,transferencia_bancaria,1.0,5.0,10.0,mensual,0,call_center,1
0,Premium,efectivo,1.0,23.0,,mensual,2,redes_sociales,1
46,premium,tarjeta_credito,1.0,22.0,8.0,mensual,0,redes_sociales,0
22,estandar,tarjeta_credito,3.0,13.0,5.0,anual,1,redes_sociales,0
35,estandar,efectivo,3.0,18.0,1.0,mensual,3,web,1
13,estandar,transferencia_bancaria,15.0,19.0,,anual,-1,web,0
38,estandar,tarjeta_debito,3.0,50.0,9.0,anual,3,web,0
4,estandar,tarjeta_debito,2.0,,3.0,anual,2,referido,0
36,estandar,tarjeta_debito,,10.0,10.0,anual,3,web,0
11,estandar,tarjeta_credito,3.0,16.0,4.0,mensual,2,web,0
36,basico,tarjeta_debito,2.0,1.0,4.0,mensual,0,,1
52,estandar,transferencia_bancaria,2.0,2.0,,mensual,3,redes_sociales,0
27,basico,tarjeta_debito,1.0,25.0,7.0,mensual,0,referido,0
24,basico,tarjeta_debito,,2.0,84.0,mensual,0,redes_sociales,1
23,estandar,tarjeta_debito,0.0,24.0,7.0,mensual,2,call_center,0
46,estandar,tarjeta_debito,3.0,,10.0,anual,3,referido,0
37,estandar,tarjeta_debito,2.0,7.0,7.0,mensual,2,,1
25,estandar,efectivo,1.0,5.0,7.0,anual,3,web,0
14,estandar,tarjeta_debito,3.0,0.0,0.0,anual,0,call_center,0
55,basico,,2.0,19.0,2.0,anual,2,web,0
39,premium,tarjeta_debito,2.0,8.0,4.0,mensual,1,referido,0
23,estandar,transferencia_bancaria,1.0,0.0,5.0,mensual,2,web,1
57,basico,efectivo,0.0,-1.0,9.0,anual,0,call_center,0
36,estandar,tarjeta_credito,0.0,24.0,5.0,anual,3,redes_sociales,0
3,estandar,efectivo,2.0,22.0,9.0,mensual,3,redes_sociales,1
3,basico,tarjeta_debito,3.0,0.0,9.0,mensual,1,web,1
35,basico,tarjeta_credito,3.0,7.0,2.0,mensual,2,referido,0
44,basico,tarjeta_credito,0.0,29.0,2.0,mensual,2,referido,0
45,premium,tarjeta_credito,2.0,16.0,9.0,mensual,3,web,0
22,premium,tarjeta_debito,0.0,28.0,10.0,mensual,15,referido,0
2,estandar,tarjeta_debito,1.0,28.0,3.0,mensual,2,redes_sociales,1
8,estandar,,1.0,14.0,3.0,mensual,0,,0
